Store,AverageSales,AverageCustomers
1,4759.096030729834,564.0499359795134
2,4953.900510204082,583.9987244897959
3,6942.568677792041,750.0770218228498
4,9638.401785714286,1321.7525510204082
5,4676.274711168165,537.3401797175867
6,5509.946153846154,635.2346153846154
7,8817.050890585242,948.5610687022901
8,5539.3584183673465,658.1977040816327
9,6562.337612323492,579.8164313222079
10,5568.4209183673465,593.9553571428571
11,8030.977040816327,1130.091836734694
12,7589.598214285715,896.952806122449
13,5034.747181964573,382.8341384863124
14,5508.567394094994,631.4672657252888
15,6672.844387755102,663.4017857142857
16,7680.683397683398,852.4774774774775
17,6335.6624040920715,791.6751918158568
18,6560.277493606138,713.2800511508951
19,6464.915275994866,624.6700898587933
20,7756.9353796445885,848.5589660743134
21,5482.320463320463,516.3616473616473
22,4525.857835218094,504.2471728594507
23,5520.281129653402,482.43645699614893
24,9388.28626444159,835.4300385109115
25,11139.038563829787,1566.186170212766
26,6671.695652173913,556.0728900255755
27,9478.57381258023,1074.7586649550706
28,5293.060959792478,581.3177691309987
29,7364.775353016688,653.7008985879332
30,5294.782496782497,777.1274131274131
31,5862.427295918367,586.0510204081633
32,4067.8212560386473,477.1867954911433
33,8436.659820282413,836.3093709884467
34,8031.485969387755,993.4591836734694
35,9703.071887034659,729.6546854942234
36,9363.638263665594,1090.3183279742766
37,7114.170512820513,781.0910256410257
38,6004.643132220795,535.3453145057766
39,4852.571245186136,629.6161745827984
40,4902.3389175257735,663.8208762886597
41,5335.059485530546,397.959807073955
42,10178.136071887035,1100.0487804878048
43,6822.9139922978175,610.1591784338896
44,5478.5,640.0586734693877
45,5348.469833119384,415.38125802310657
46,5352.290996784566,660.5016077170418
47,7145.102040816327,920.6505102040817
48,3934.966836734694,429.2334183673469
49,7304.113256113256,531.7078507078508
50,4256.070603337613,358.7997432605905
51,6675.286173633441,496.9871382636656
52,7407.945337620578,503.4983922829582
53,5264.807397959184,566.7091836734694
54,7907.538853503184,730.4789808917197
55,4598.989743589744,558.9641025641025
56,7321.754161331626,506.93854033290654
57,10591.73116883117,988.5207792207792
58,6336.158908507223,513.1476725521669
59,5501.312020460358,564.0153452685422
60,8033.087179487179,713.473076923077
61,4722.005148005148,571.7387387387388
62,6503.86649550706,717.9833119383825
63,6956.3877551020405,638.8520408163265
64,10359.525032092426,792.8536585365854
65,5112.8948717948715,455.9
66,6114.360360360361,524.056628056628
67,7828.930501930502,798.3230373230373
68,7563.252551020408,1151.954081632653
69,9426.451984635083,1183.663252240717
70,6608.028132992327,679.0971867007672
71,9061.09756097561,746.9204107830552
72,4420.025682182985,474.86035313001605
73,4576.978316326531,494.13520408163265
74,6256.630154639175,854.2229381443299
75,6023.4540816326535,642.140306122449
76,8999.54735152488,928.0963081861959
77,7621.489116517286,662.8335467349552
78,3717.473076923077,494.85897435897436
79,5474.240669240669,560.4877734877734
80,7616.2734274711165,577.7458279845956
81,6985.688102893891,561.4983922829582
82,9019.653401797175,838.5596919127086
83,3887.7060333761233,345.8395378690629
84,12955.997432605905,1392.3106546854942
85,7272.454352441614,1015.4012738853503
86,4695.021850899743,604.9601542416452
87,5865.161989795918,737.4477040816327
88,6024.433333333333,613.4910256410257
89,5971.33922829582,624.1752411575562
90,8416.768637532134,1057.060411311054
91,5559.002570694088,613.9305912596401
92,5996.684210526316,547.0577663671373
93,5965.175866495507,603.5545571245186
94,7121.14377406932,640.1437740693196
95,7638.54358974359,843.7192307692308
96,5176.888461538461,542.774358974359
97,6703.3961538461535,688.8307692307692
98,5109.863928112965,451.5853658536585
99,5130.520900321543,465.5209003215434
100,7964.412541254125,686.2194719471947
101,7469.877551020408,777.155612244898
102,7061.162127107653,1048.9857328145265
103,4689.497622820919,421.6164817749604
104,10126.536989795919,1312.3775510204082
105,4441.3673740053055,515.0490716180371
106,8668.81935483871,825.6477419354839
107,7336.589285714285,955.3112244897959
108,11035.360128617363,848.7813504823151
109,6464.323979591837,742.3762755102041
110,4534.429846938776,587.4387755102041
111,6771.745198463508,597.6747759282971
112,6229.448979591837,775.9936224489796
113,7199.077170418006,699.3135048231511
114,5346.559948979592,608.125
115,7371.689710610933,552.0450160771704
116,7294.54533844189,758.2477650063857
117,3881.956354300385,492.06546854942235
118,7781.606138107417,675.5460358056266
119,6005.085459183673,664.9642857142857
120,7110.102432778489,638.1959026888604
121,4453.171794871795,504.1128205128205
122,6462.014689265537,793.780790960452
123,8399.204427083334,959.77734375
124,4424.1463414634145,525.6829268292682
125,11836.848214285714,1573.9413265306123
126,6507.75353016688,543.8125802310655
127,5238.154093097914,659.7479935794543
128,7454.672215108835,594.6824583866837
129,9208.120578778135,1165.4630225080386
130,5121.062740076824,573.7451984635084
131,5275.404364569961,558.8973042362003
132,6283.255627009647,582.4051446945338
133,6467.759590792839,758.8273657289003
134,4725.8915816326535,494.5969387755102
135,5952.416133162612,539.7810499359795
136,5488.818327974276,423.98070739549837
137,8274.98231511254,957.2813504823151
138,7334.917948717949,714.4435897435898
139,6464.1495176848875,513.8151125401929
140,7469.049935979513,963.6120358514725
141,5540.741312741313,611.8983268983269
142,4603.965340179718,568.7355584082156
143,6314.756097560976,582.0423620025674
144,7718.2064,728.8896
145,8342.263157894737,1267.7861842105262
146,7812.83055198973,702.4223363286264
147,8212.558408215662,879.6161745827984
148,8638.96556122449,819.4770408163265
149,5567.483922829582,486.21864951768487
150,8417.24107142857,820.3966836734694
